sayfa_sayisi,satis_sayisi,fiyati,indirim_yuzdesi,puan,kazanc,yorum_sayisi,toplam_gun
45,922,9.63,31.0,16,4.38,13.0,2187
32,377,3.84,36.0,6,2.16,6.0,877
36,409,15.58,35.0,32,8.42,23.0,1387
376,346,21.06,35.0,40,11.34,13.0,1199
14,257,11.25,25.0,18,3.75,7.0,1427
128,573,10.31,31.0,12,4.69,11.0,2918
8,872,16.9,35.0,26,9.1,44.0,783
32,138,5.67,13.0,12,0.81,2.0,422
24,176,6.5,35.0,12,3.5,7.0,478
40,246,16.38,22.0,28,4.62,6.0,1177
385,759,25.35,35.0,36,13.65,12.0,456
64,144,4.95,45.0,12,4.05,1.0,444
206,965,14.95,35.0,22,8.05,3.0,615
128,155,13.68,31.0,28,6.22,1.0,364
32,166,8.45,35.0,16,4.55,1.0,549
47,447,5.41,35.0,10,2.92,8.0,770
28,254,7.22,35.0,14,3.89,9.0,3342
112,241,28.49,32.0,54,13.51,4.0,841
64,329,6.2,38.0,8,3.8,5.0,1032
184,771,7.5,38.0,12,4.5,6.0,1826
48,468,12.1,40.0,20,7.9,15.0,808
32,137,4.99,23.0,12,1.49,1.0,422
72,531,9.63,31.0,16,4.38,3.0,2188
24,225,22.73,35.0,32,12.27,5.0,1670
622,1225,35.46,32.0,62,16.54,52.0,1185
32,139,5.67,13.0,12,0.81,2.0,422
56,722,9.75,35.0,12,5.25,13.0,490
141,405,9.75,35.0,10,5.25,8.0,967
24,305,3.9,35.0,6,2.1,4.0,665
40,335,7.22,35.0,14,3.89,7.0,903
128,319,10.5,30.0,22,4.5,5.0,1214
144,314,7.67,36.0,14,4.33,6.0,903
240,1293,15.34,36.0,28,8.66,16.0,129
120,320,19.5,40.0,34,13.0,9.0,1444
36,137,7.8,35.0,16,4.2,3.0,296
96,1485,5.5,45.0,10,4.5,27.0,2928
64,786,11.16,38.0,14,6.84,28.0,1702
32,451,7.8,35.0,10,4.2,14.0,494
20,573,5.2,35.0,8,2.8,6.0,650
32,275,7.19,40.0,14,4.81,2.0,1393
48,360,10.28,31.0,12,4.67,10.0,1398
320,195,55.25,35.0,36,29.75,3.0,4389
188,514,25.97,35.0,50,14.03,7.0,4270
744,390,73.37,37.0,126,42.63,4.0,1112
40,1025,12.35,35.0,14,6.65,8.0,164
80,428,11.5,50.0,28,11.5,10.0,1156
32,731,1.95,35.0,4,1.05,12.0,1830
96,548,16.25,35.0,26,8.75,6.0,2465
32,134,9.1,35.0,18,4.9,0.0,667
84,218,1.95,70.0,6,4.55,1.0,733
24,374,5.2,35.0,10,2.8,3.0,533
48,496,8.45,35.0,12,4.55,3.0,670
32,453,10.28,31.0,12,4.67,16.0,917
38,391,3.73,20.0,8,0.9,8.0,3659
77,538,6.75,44.0,12,5.25,21.0,1771
4,241,15.6,35.0,26,8.4,2.0,973
128,540,10.31,31.0,12,4.69,8.0,2918
14,618,15.3,39.0,20,9.7,15.0,1485
4470,217,168.75,44.0,326,131.25,3.0,269
152,825,9.35,45.0,16,7.65,10.0,344
32,563,22.34,31.0,34,10.16,18.0,111
88,169,10.12,37.0,22,5.88,1.0,280
32,737,1.95,35.0,4,1.05,21.0,654
36,302,13.8,40.0,30,9.2,6.0,752
164,667,13.65,35.0,20,7.35,4.0,811
24,253,12.54,34.0,22,6.46,6.0,412
24,155,6.5,35.0,12,3.5,5.0,458
24,135,5.11,36.0,12,2.89,1.0,96
12,134,5.2,35.0,12,2.8,1.0,440
16,163,1.63,35.0,4,0.88,1.0,485
64,1016,9.75,35.0,12,5.25,14.0,750
64,364,22.75,35.0,32,12.25,7.0,1067
80,324,7.8,35.0,14,4.2,10.0,967
64,482,5.27,38.0,8,3.23,6.0,779
48,438,4.38,56.0,12,5.63,12.0,1389
32,272,4.5,40.0,8,3.0,4.0,2468
72,368,10.35,43.0,16,7.65,3.0,849
72,269,11.68,35.0,28,6.32,5.0,666
204,457,17.88,29.0,34,7.13,5.0,266
8,330,13.0,35.0,20,7.0,13.0,2343
112,186,16.68,28.0,32,6.33,2.0,1366
24,595,13.8,31.0,30,6.2,8.0,3294
24,136,5.11,36.0,10,2.89,1.0,62
40,324,26.81,31.0,36,12.19,6.0,783
96,1031,15.98,36.0,28,9.02,9.0,437
40,196,7.67,36.0,16,4.33,3.0,428
48,310,10.4,35.0,16,5.6,3.0,897
72,798,7.21,35.0,14,3.9,22.0,1405
320,894,15.81,37.0,32,9.19,22.0,2198
28,321,16.68,28.0,28,6.33,8.0,875
359,309,59.8,25.0,102,20.2,7.0,2563
96,966,5.2,35.0,10,2.8,17.0,1030
64,493,5.27,38.0,8,3.23,9.0,779
144,576,8.45,35.0,16,4.55,4.0,1850
20,371,5.5,31.0,8,2.5,2.0,170
144,388,7.13,45.0,16,5.83,4.0,967
32,362,4.43,37.0,8,2.57,5.0,1341
32,309,18.7,45.0,32,15.3,10.0,2947
32,514,17.8,29.0,34,7.2,10.0,1049
168,275,13.0,35.0,20,7.0,0.0,1021
32,793,5.58,38.0,8,3.42,35.0,971
72,342,13.75,31.0,26,6.25,11.0,1113
20,411,5.2,35.0,10,2.8,6.0,524
26,634,5.16,63.0,14,8.59,34.0,1950
32,255,7.22,35.0,14,3.89,3.0,860
181,1553,9.75,35.0,14,5.25,128.0,1785
64,439,4.99,45.0,10,4.01,6.0,1444
20,494,13.95,23.0,26,4.05,7.0,1354
24,371,4.81,31.0,10,2.19,3.0,1467
230,889,14.3,35.0,24,7.7,7.0,482
120,377,12.65,37.0,28,7.35,8.0,1549
96,547,6.5,35.0,10,3.5,12.0,4541
36,304,4.1,20.0,8,0.99,9.0,2333
160,115,17.83,23.0,32,5.18,0.0,576
12,656,9.97,31.0,16,4.53,30.0,1401
128,209,7.19,40.0,16,4.81,1.0,786
140,439,13.67,28.0,28,5.33,7.0,737
208,671,13.92,37.0,22,8.09,1.0,969
144,248,9.75,35.0,18,5.25,2.0,431
28,248,7.22,35.0,14,3.89,3.0,3650
32,130,17.87,35.0,36,9.63,1.0,293
32,155,5.53,35.0,10,2.98,4.0,3294
64,507,5.27,38.0,8,3.23,9.0,779
221,135,11.0,50.0,28,11.0,2.0,510
112,215,11.0,45.0,20,9.0,3.0,1003
152,287,10.54,38.0,16,6.46,2.0,450
128,159,16.5,31.0,30,7.5,0.0,500
32,129,4.99,23.0,12,1.49,2.0,422
24,130,5.2,35.0,10,2.8,1.0,239
16,378,3.72,38.0,6,2.28,16.0,1074
24,176,10.15,28.0,20,3.85,6.0,688
36,147,11.22,34.0,20,5.78,2.0,940
36,552,12.02,35.0,16,6.48,18.0,750
192,412,17.39,37.0,32,10.11,12.0,615
112,473,9.45,30.0,16,4.05,10.0,638
338,129,14.49,20.0,32,3.51,3.0,388
36,163,17.19,31.0,32,7.81,4.0,611
112,733,4.88,35.0,6,2.63,16.0,1086
36,262,12.38,31.0,22,5.63,4.0,997
48,541,11.7,37.0,16,6.8,18.0,519
48,527,5.58,38.0,10,3.42,15.0,654
48,507,5.58,38.0,10,3.42,15.0,654
168,514,25.57,36.0,36,14.43,15.0,590
800,529,49.0,39.0,102,31.0,10.0,1472
32,128,4.99,23.0,12,1.49,1.0,422
88,512,9.75,35.0,12,5.25,7.0,1004
32,154,5.53,35.0,10,2.98,1.0,3294
502,194,20.63,31.0,28,9.38,3.0,760
208,461,20.8,35.0,28,11.2,11.0,1360
32,127,5.67,13.0,12,0.81,0.0,392
24,258,4.81,31.0,10,2.19,2.0,1467
64,610,5.2,35.0,10,2.8,18.0,689
64,380,9.9,34.0,14,5.1,10.0,1178
208,246,10.4,35.0,16,5.6,2.0,485
32,760,1.95,35.0,4,1.05,22.0,1830
32,154,11.6,28.0,24,4.4,7.0,736
32,126,16.54,28.0,34,6.46,4.0,1092
48,569,5.09,45.0,12,4.17,15.0,941
496,288,37.5,38.0,44,22.5,5.0,2588
32,711,1.95,35.0,4,1.05,19.0,1830
160,1040,18.0,28.0,22,7.0,16.0,2888
32,456,14.95,35.0,20,8.05,16.0,1269
32,329,15.9,39.0,22,10.1,2.0,486
72,834,2.75,50.0,8,2.75,8.0,5120
144,170,5.85,35.0,12,3.15,2.0,652
32,126,5.67,13.0,12,0.81,0.0,392
16,302,10.4,35.0,18,5.6,8.0,889
104,774,8.99,25.0,12,3.01,19.0,280
120,565,14.0,13.0,18,2.0,10.0,1730
102,150,19.25,23.0,20,5.75,4.0,419
96,443,15.4,45.0,24,12.6,8.0,2290
88,164,3.5,50.0,6,3.5,5.0,461
328,922,15.81,37.0,32,9.19,19.0,4018
104,195,4.25,50.0,8,4.25,4.0,521
44,439,18.49,31.0,40,8.41,13.0,527
536,572,37.5,38.0,56,22.5,27.0,3401
48,332,6.5,35.0,10,3.5,9.0,822
42,367,19.25,31.0,34,8.75,9.0,1298
16,136,13.75,31.0,16,6.25,2.0,3032
112,230,8.45,35.0,16,4.55,11.0,1287
92,625,9.75,35.0,12,5.25,14.0,916
64,368,11.5,50.0,26,11.5,12.0,1417
36,123,19.25,31.0,38,8.75,0.0,424
64,175,3.0,50.0,6,3.0,2.0,733
88,202,3.5,50.0,6,3.5,3.0,461
160,469,13.2,40.0,20,8.8,4.0,1088
400,1099,30.69,32.0,54,14.31,32.0,1423
320,587,48.88,43.0,60,36.13,13.0,918
77,433,6.75,44.0,12,5.25,19.0,1771
124,184,4.17,50.0,8,4.17,4.0,4471
136,699,12.02,37.0,24,6.98,5.0,1710
511,1091,34.78,32.0,62,16.22,32.0,3294
104,870,9.59,40.0,16,6.41,12.0,842
72,366,24.67,37.0,40,14.33,6.0,1009
8,1042,16.9,35.0,26,9.1,29.0,783
112,287,8.44,38.0,8,5.06,1.0,576
48,633,4.8,40.0,8,3.2,14.0,818
40,138,18.9,21.0,38,5.1,0.0,560
48,373,5.58,38.0,8,3.42,3.0,2402
504,283,37.5,38.0,44,22.5,7.0,2735
176,250,16.96,32.0,20,8.04,0.0,1361
64,513,6.2,38.0,10,3.8,16.0,1119
128,1420,9.3,38.0,16,5.7,19.0,995
96,625,8.37,38.0,18,5.13,12.0,771
152,302,16.23,35.0,28,8.78,3.0,1097
24,339,5.2,35.0,10,2.8,12.0,969
32,672,9.1,35.0,10,4.9,13.0,503
32,374,16.5,34.0,30,8.5,9.0,1146
156,243,10.4,35.0,20,5.6,6.0,1025
40,635,17.65,37.0,32,10.25,17.0,1977
16,1025,8.19,34.0,18,4.31,28.0,455
96,153,5.69,37.0,12,3.31,2.0,364
40,124,12.65,37.0,26,7.35,1.0,146
204,623,8.63,43.0,12,6.38,12.0,1533
24,304,3.9,35.0,6,2.1,10.0,665
264,208,9.59,40.0,18,6.41,2.0,472
384,1042,34.5,43.0,40,25.5,32.0,219
48,631,10.31,31.0,16,4.69,6.0,2092
32,123,5.67,13.0,12,0.81,1.0,422
56,352,18.91,37.0,36,10.99,9.0,97
120,873,6.33,37.0,10,3.68,10.0,4757
112,309,10.23,15.0,18,1.8,4.0,2162
96,2051,7.8,35.0,12,4.2,43.0,2830
136,349,5.97,20.0,12,1.44,8.0,2917
40,137,6.5,35.0,12,3.5,7.0,393
168,124,12.0,25.0,24,4.0,0.0,575
61,427,19.42,35.0,32,10.48,14.0,3660
160,168,7.8,35.0,16,4.2,2.0,631
28,206,7.22,35.0,14,3.89,3.0,3342
32,726,1.95,35.0,4,1.05,22.0,1830
144,316,11.7,40.0,26,7.8,2.0,164
16,306,3.9,35.0,6,2.1,8.0,665
399,1001,20.15,38.0,20,12.35,24.0,680
28,400,13.78,28.0,26,5.23,12.0,1368
120,711,3.55,28.0,6,1.35,16.0,2197
168,222,12.02,37.0,20,6.98,0.0,1426
16,279,7.59,37.0,12,4.41,7.0,983
128,627,14.55,37.0,28,8.45,4.0,1772
224,645,15.6,35.0,26,8.4,4.0,1171
40,692,12.3,37.0,24,7.15,27.0,757
48,566,10.31,31.0,16,4.69,11.0,2092
128,422,10.4,35.0,14,5.6,7.0,451
24,132,13.67,28.0,28,5.33,3.0,841
16,401,5.19,35.0,10,2.81,9.0,2368
28,120,13.75,31.0,24,6.25,0.0,451
24,135,6.5,35.0,12,3.5,4.0,478
44,120,22.62,31.0,46,10.28,2.0,311
112,423,13.92,37.0,26,8.09,4.0,1672
160,372,13.65,35.0,20,7.35,8.0,660
144,187,14.6,34.0,24,7.4,3.0,1000
184,795,13.0,35.0,20,7.0,17.0,1379
12,183,18.22,31.0,32,8.28,1.0,792
10,219,5.85,35.0,12,3.15,5.0,786
220,542,26.0,35.0,50,14.0,3.0,2188
152,440,12.02,35.0,16,6.48,6.0,910
14,500,15.63,38.0,20,9.38,20.0,1485
144,244,12.68,35.0,26,6.83,6.0,164
24,564,14.3,35.0,24,7.7,13.0,864
48,411,4.43,37.0,8,2.57,8.0,590
32,633,8.0,43.0,10,6.0,12.0,503
510,610,34.79,37.0,46,20.21,31.0,5202
24,619,9.49,37.0,10,5.51,36.0,2707
48,122,12.35,35.0,20,6.65,4.0,419
192,268,9.1,35.0,16,4.9,5.0,632
20,543,12.83,29.0,26,5.17,15.0,1354
12,124,5.2,35.0,12,2.8,0.0,440
320,124,29.97,40.0,66,20.03,3.0,96
16,275,5.2,35.0,8,2.8,7.0,985
48,2088,4.5,44.0,8,3.5,27.0,2919
144,206,14.52,34.0,28,7.48,1.0,856
48,579,4.8,40.0,8,3.2,11.0,818
24,368,3.0,35.0,6,1.63,4.0,1440
16,396,5.19,35.0,10,2.81,6.0,2368
32,482,11.39,37.0,20,6.62,13.0,1341
128,123,9.1,30.0,20,3.9,0.0,575
24,124,5.2,35.0,10,2.8,0.0,62
272,541,20.13,38.0,34,12.37,11.0,854
39,719,9.91,24.0,16,3.09,15.0,1759
24,356,8.86,37.0,16,5.15,4.0,1489
48,397,19.29,30.0,28,8.21,8.0,171
24,302,3.9,35.0,6,2.1,6.0,588
16,338,3.9,35.0,6,2.1,3.0,588
192,873,13.75,31.0,20,6.25,9.0,3617
24,481,4.16,41.0,8,2.84,13.0,2800
88,378,9.75,35.0,12,5.25,7.0,578
30,575,14.88,38.0,22,9.12,5.0,1004
48,449,8.45,35.0,14,4.55,4.0,924
200,515,13.92,37.0,26,8.09,5.0,1738
37,363,13.34,42.0,24,9.66,3.0,4672
112,121,32.4,40.0,70,21.6,2.0,300
16,235,10.94,45.0,22,8.96,3.0,1098
32,201,8.95,36.0,16,5.05,4.0,692
24,351,8.7,28.0,18,3.3,10.0,1388
480,980,30.36,31.0,46,13.64,38.0,1102
33,266,6.48,13.0,12,0.93,9.0,965
48,532,7.79,40.0,12,5.21,5.0,570
128,150,14.5,50.0,38,14.5,2.0,664
38,261,8.86,20.0,8,2.15,12.0,1833
24,189,5.2,35.0,10,2.8,3.0,604
16,254,1.79,35.0,4,0.96,1.0,139
16,247,1.79,35.0,4,0.96,3.0,139
32,159,17.1,29.0,36,6.9,2.0,619
85,315,3.5,50.0,6,3.5,6.0,1471
32,301,18.85,28.0,38,7.15,7.0,842
168,409,24.7,35.0,38,13.3,12.0,793
68,481,3.91,44.0,8,3.04,14.0,959
16,160,6.49,35.0,10,3.51,3.0,786
129,278,8.96,36.0,16,5.04,4.0,927
72,874,3.75,38.0,8,2.25,34.0,4741
100,846,14.3,29.0,18,5.7,21.0,1102
20,382,5.6,30.0,8,2.4,3.0,170
24,127,5.7,40.0,12,3.8,0.0,486
24,130,13.0,35.0,26,7.0,3.0,443
24,118,4.8,40.0,12,3.2,0.0,310
104,495,10.75,37.0,22,6.25,7.0,2195
144,574,11.05,35.0,16,5.95,7.0,666
96,546,10.56,19.0,20,2.44,12.0,688
532,467,37.5,38.0,60,22.5,14.0,3401
110,630,6.88,31.0,10,3.13,10.0,1832
16,162,7.2,40.0,16,4.8,3.0,823
160,338,12.04,35.0,24,6.48,12.0,1378
24,272,6.5,35.0,10,3.5,8.0,1029
80,205,6.88,31.0,10,3.13,3.0,732
32,365,9.46,37.0,12,5.49,3.0,1398
36,171,9.1,35.0,18,4.9,3.0,772
28,181,11.65,37.0,26,6.77,11.0,943
160,1168,7.0,30.0,14,3.0,34.0,742
320,346,20.15,35.0,30,10.85,8.0,750
32,335,7.22,35.0,14,3.89,12.0,494
48,157,10.74,28.0,22,4.26,1.0,456
64,140,12.6,30.0,16,5.4,0.0,541
32,227,8.15,32.0,14,3.85,3.0,591
128,390,6.71,20.0,14,1.62,14.0,2198
32,356,7.22,35.0,14,3.89,8.0,712
136,586,16.37,32.0,28,7.63,2.0,1611
32,503,15.5,23.0,28,4.5,9.0,1102
48,440,8.45,35.0,14,4.55,7.0,995
98,202,9.08,40.0,18,5.93,3.0,230
50,272,22.07,37.0,44,12.83,7.0,1024
80,346,11.5,50.0,28,11.5,7.0,737
32,1554,1.95,35.0,4,1.05,40.0,1015
208,568,14.5,50.0,32,14.5,7.0,1207
16,402,5.19,35.0,10,2.81,6.0,2368
24,122,7.2,40.0,16,4.8,1.0,307
12,149,5.38,40.0,12,3.62,4.0,521
272,366,26.81,31.0,48,12.19,6.0,1670
32,672,1.95,35.0,4,1.05,14.0,1830
160,341,12.04,35.0,24,6.48,4.0,1890
64,492,8.86,37.0,10,5.15,5.0,735
128,277,29.25,35.0,52,15.75,5.0,383
24,294,5.2,35.0,8,2.8,6.0,660
176,217,23.24,37.0,28,13.76,3.0,618
32,415,18.34,37.0,26,10.66,12.0,1062
272,236,23.25,23.0,38,6.75,2.0,687
80,593,9.75,35.0,12,5.25,10.0,880
460,962,32.74,32.0,58,15.26,30.0,1879
32,401,5.53,35.0,8,2.98,6.0,534
462,227,57.9,28.0,100,22.1,3.0,2563
320,792,19.25,45.0,44,15.75,8.0,2557
32,316,9.02,35.0,20,4.86,1.0,863
56,257,9.75,35.0,12,5.25,1.0,977
138,908,13.11,31.0,28,5.89,22.0,4023
64,1260,5.18,43.0,8,3.83,20.0,1330
24,131,4.03,38.0,8,2.47,3.0,730
254,403,13.19,45.0,26,10.81,8.0,582
32,256,10.28,31.0,12,4.67,5.0,1017
32,357,5.27,38.0,8,3.23,6.0,1487
640,836,75.0,25.0,86,25.0,12.0,1651
136,262,14.3,35.0,24,7.7,6.0,1338
80,245,38.36,36.0,66,21.64,6.0,1912
32,116,6.0,40.0,12,4.0,1.0,177
16,281,5.2,35.0,8,2.8,4.0,985
32,355,7.22,35.0,14,3.89,22.0,803
112,118,4.5,55.0,12,5.5,0.0,371
32,316,7.7,45.0,12,6.3,9.0,2290
28,118,10.5,25.0,18,3.5,4.0,441
128,319,12.04,35.0,24,6.48,3.0,2264
144,753,7.2,40.0,14,4.8,12.0,1442
112,155,9.49,37.0,22,5.51,1.0,398
302,889,19.14,34.0,34,9.86,17.0,2187
336,341,13.23,37.0,10,7.77,9.0,626
128,213,11.39,40.0,16,7.61,3.0,1129
79,1451,12.15,33.0,24,5.85,21.0,3294
48,525,10.5,30.0,16,4.5,9.0,2092
104,256,7.59,37.0,12,4.41,5.0,1326
32,192,9.94,33.0,22,4.96,5.0,1499
28,508,9.35,45.0,18,7.65,13.0,490
168,647,15.75,25.0,22,5.25,11.0,1424
152,206,12.0,40.0,18,8.0,4.0,800
24,124,4.03,38.0,8,2.47,1.0,518
112,1051,7.44,38.0,16,4.56,22.0,831
144,114,11.05,35.0,22,5.95,0.0,147
32,131,5.53,35.0,10,2.98,2.0,3294
98,162,4.41,37.0,6,2.59,3.0,128
80,131,7.8,35.0,16,4.2,4.0,672
28,731,9.52,27.0,14,3.48,10.0,1672
30,112,15.6,35.0,36,8.4,1.0,279
48,1079,6.5,35.0,8,3.5,29.0,916
64,188,3.49,30.0,6,1.5,1.0,817
96,178,3.49,30.0,6,1.5,3.0,880
104,209,20.63,31.0,26,9.38,4.0,1395
30,446,8.32,41.0,12,5.68,22.0,719
92,258,7.8,35.0,10,4.2,3.0,652
128,160,7.19,40.0,16,4.81,2.0,703
80,180,10.87,28.0,18,4.13,3.0,631
14,571,15.63,38.0,32,9.38,19.0,2903
128,414,10.4,35.0,14,5.6,2.0,559
60,171,13.5,25.0,26,4.5,2.0,660
16,112,6.0,40.0,12,4.0,0.0,335
48,235,11.38,19.0,22,2.63,3.0,1102
288,113,82.8,43.0,188,61.2,3.0,216
160,256,13.0,35.0,30,7.0,6.0,995
25,412,5.97,20.0,12,1.44,11.0,3349
28,113,17.5,30.0,30,7.5,0.0,183
720,184,56.93,37.0,88,33.08,0.0,785
32,130,5.53,35.0,10,2.98,2.0,3294
128,363,12.04,35.0,24,6.48,5.0,2264
64,217,7.8,35.0,12,4.2,5.0,909
32,305,3.9,35.0,6,2.1,5.0,877
8,168,22.62,31.0,34,10.28,7.0,814
64,271,11.05,35.0,20,5.95,2.0,946
24,197,4.05,13.0,8,0.58,5.0,1061
180,598,15.34,36.0,26,8.66,5.0,3133
176,274,7.5,38.0,12,4.5,5.0,1402
72,210,9.1,35.0,10,4.9,4.0,465
80,294,9.58,36.0,12,5.42,4.0,430
224,227,8.81,37.0,16,5.19,3.0,678
288,206,17.55,35.0,44,9.45,4.0,1097
10,427,3.78,31.0,8,1.72,14.0,2275
10,458,3.78,31.0,8,1.72,16.0,2275
10,560,7.61,42.0,14,5.4,11.0,1254
400,1536,20.15,38.0,26,12.35,42.0,397
88,1005,14.3,35.0,24,7.7,9.0,416
96,357,11.0,50.0,22,11.0,11.0,602
24,113,5.85,35.0,12,3.15,0.0,247
22,394,11.39,37.0,12,6.62,3.0,304
32,940,1.95,35.0,4,1.05,25.0,3294
40,111,17.4,28.0,26,6.6,5.0,437
64,388,15.6,35.0,22,8.4,7.0,678
80,169,3.25,50.0,6,3.25,1.0,630
96,541,6.88,31.0,10,3.13,8.0,4478
64,680,7.8,35.0,12,4.2,11.0,639
128,386,9.1,43.0,14,6.9,7.0,639
192,352,19.5,35.0,28,10.5,4.0,670
32,348,11.46,31.0,22,5.21,5.0,988
36,632,18.2,35.0,34,9.8,25.0,1887
32,164,15.91,31.0,32,7.23,4.0,432
320,560,13.75,45.0,18,11.25,18.0,1377
88,344,12.42,31.0,20,5.58,4.0,1444
160,952,18.0,28.0,22,7.0,14.0,2250
32,377,8.05,20.0,8,1.95,17.0,393
24,108,5.2,35.0,10,2.8,2.0,239
144,233,9.1,30.0,12,3.9,4.0,526
64,864,9.75,35.0,12,5.25,8.0,666
16,268,62.62,37.0,88,36.38,5.0,914
96,196,24.01,33.0,40,11.99,7.0,1164
96,534,8.1,40.0,18,5.4,17.0,779
32,110,7.7,23.0,16,2.3,0.0,370
112,131,11.39,37.0,22,6.62,1.0,441
98,286,16.9,35.0,30,9.1,0.0,961
231,695,16.5,31.0,26,7.5,8.0,479
110,155,4.25,50.0,8,4.25,2.0,521
24,361,5.2,35.0,10,2.8,4.0,897
64,446,8.05,43.0,12,5.95,9.0,503
48,361,10.94,38.0,16,6.56,7.0,792
32,340,10.82,28.0,14,4.13,13.0,1938
104,482,6.25,38.0,12,3.75,8.0,1826
208,314,25.97,35.0,46,14.03,1.0,808
93,323,6.88,31.0,10,3.13,4.0,4745
24,195,18.2,35.0,30,9.8,3.0,1036
160,209,7.8,35.0,16,4.2,3.0,735
64,155,3.5,30.0,6,1.5,0.0,432
126,166,3.49,30.0,6,1.5,1.0,717
80,612,20.56,31.0,40,9.34,5.0,1233
32,423,15.5,23.0,26,4.5,8.0,1102
96,524,9.3,38.0,18,5.7,10.0,886
112,763,8.13,38.0,16,4.88,17.0,280
256,112,18.98,37.0,30,11.03,1.0,546
32,428,10.08,28.0,20,3.82,21.0,672
56,479,16.25,35.0,34,8.75,15.0,1425
32,229,7.2,40.0,14,4.8,14.0,969
12,112,6.19,31.0,12,2.81,1.0,323
224,1495,21.65,38.0,44,13.35,17.0,3909
56,314,10.45,45.0,16,8.55,9.0,2568
24,266,5.2,35.0,10,2.8,0.0,664
24,251,3.9,35.0,6,2.1,1.0,1467
94,383,6.88,31.0,10,3.13,5.0,4478
64,382,5.27,38.0,8,3.23,4.0,779
64,552,9.75,35.0,12,5.25,6.0,763
24,623,34.65,31.0,58,15.25,33.0,1155
344,310,21.06,35.0,40,11.34,6.0,2977
176,868,7.2,40.0,14,4.8,5.0,2206
168,199,11.7,35.0,20,6.3,5.0,1182
392,609,22.75,35.0,34,12.25,8.0,700
176,376,29.22,35.0,36,15.78,8.0,1018
304,341,13.0,35.0,24,7.0,5.0,1792
86,222,18.12,33.0,28,8.88,3.0,239
160,177,14.63,42.0,30,10.38,3.0,1396
144,615,9.3,38.0,20,5.7,15.0,919
36,370,18.01,33.0,36,8.99,6.0,2650
64,321,11.5,50.0,26,11.5,13.0,1432
32,322,13.5,25.0,26,4.5,13.0,1308
48,285,10.45,45.0,16,8.55,8.0,2290
95,445,8.1,46.0,16,6.9,12.0,1068
32,429,17.39,37.0,30,10.11,12.0,1055
136,396,6.25,38.0,12,3.75,3.0,3822
48,255,10.28,31.0,12,4.67,8.0,1184
16,147,6.5,35.0,10,3.5,3.0,786
28,204,7.8,35.0,16,4.2,6.0,1900
48,906,5.58,38.0,8,3.42,32.0,1119
60,265,4.47,50.0,8,4.53,10.0,1399
16,197,10.94,45.0,22,8.96,3.0,1098
108,109,13.68,31.0,28,6.22,3.0,576
60,774,16.57,35.0,20,8.93,6.0,2623
32,1019,3.25,35.0,6,1.75,15.0,999
304,772,37.5,38.0,58,22.5,16.0,4328
24,108,18.49,31.0,38,8.41,4.0,576
28,151,19.5,35.0,36,10.5,5.0,401
12,448,9.79,32.0,12,4.71,28.0,1401
24,342,7.76,48.0,14,7.24,3.0,1924
24,341,7.76,48.0,14,7.24,1.0,1265
88,228,7.59,37.0,14,4.41,5.0,1513
320,353,51.0,40.0,60,34.0,9.0,997
28,195,7.22,35.0,14,3.89,5.0,3342
112,747,5.4,46.0,12,4.6,13.0,2928
32,458,5.53,35.0,8,2.98,10.0,534
16,149,6.5,35.0,10,3.5,6.0,786
144,1276,13.0,35.0,22,7.0,14.0,525
24,375,15.0,25.0,30,5.0,3.0,2698
12,224,8.87,31.0,14,4.03,3.0,1308
12,216,8.87,31.0,14,4.03,4.0,1308
64,223,10.5,13.0,12,1.5,9.0,1832
800,215,67.28,25.0,116,22.73,2.0,6216
72,287,10.4,35.0,12,5.6,5.0,665
96,555,9.75,35.0,18,5.25,12.0,840
28,159,22.73,35.0,32,12.27,2.0,1670
160,324,13.2,40.0,20,8.8,1.0,1536
200,605,15.36,34.0,30,7.79,11.0,464
36,585,14.45,32.0,32,6.85,13.0,1135
32,562,9.63,31.0,16,4.38,6.0,974
112,768,5.07,36.0,8,2.83,7.0,1823
32,104,24.0,25.0,46,8.0,1.0,306
96,117,29.4,30.0,62,12.6,1.0,731
144,507,10.31,31.0,14,4.69,1.0,3402
64,162,10.2,40.0,10,6.8,6.0,1375
128,244,12.04,35.0,24,6.48,3.0,1450
136,457,10.4,35.0,14,5.6,7.0,776
32,425,10.28,31.0,12,4.67,7.0,2008
480,124,41.25,31.0,62,18.75,1.0,1331
150,210,14.48,37.0,24,8.42,2.0,974
520,347,16.9,35.0,28,9.1,8.0,734
158,264,2.75,50.0,6,2.75,13.0,1830
96,506,7.45,20.0,12,1.81,14.0,2369
196,339,13.08,25.0,26,4.42,7.0,1602
24,100,15.16,18.0,26,3.34,4.0,126
198,112,2.9,59.0,10,4.1,1.0,155
16,110,13.75,31.0,16,6.25,2.0,3032
32,108,6.5,35.0,12,3.5,1.0,335
16,191,10.94,45.0,22,8.96,1.0,1098
128,1029,6.25,50.0,8,6.25,62.0,4115
32,104,6.5,35.0,12,3.5,1.0,307
576,207,8.95,44.0,20,7.04,6.0,948
104,355,6.0,40.0,8,4.0,7.0,1000
28,178,7.22,35.0,14,3.89,3.0,3342
112,759,6.0,40.0,12,4.0,17.0,2928
140,661,13.75,31.0,26,6.25,9.0,931
48,322,8.63,43.0,16,6.38,5.0,1154
152,356,7.5,38.0,12,4.5,6.0,1733
